,Lon,Lat,Edo,Clave,Est,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
0,-102.31,21.9,AGS,AGSAG,"Aguascalientes, Ags.",25.8,28.7,0.0,0.0,75.4,112.5,34.5,128.2,111.43,119.54,47.14,0.6
1,-102.47,22.19,AGS,ANVAG,"Cincuenta Aniversario, Ags.",58.6,24.4,0.0,2.6,34.8,191.2,28.8,63.4,67.2,109.8,31.8,0.0
2,-102.71,21.85,AGS,CALVILLO,"Calvillo, Ags. SMN*",56.0,19.5,0.0,5.3,15.4,201.5,108.0,78.3,130.07,100.76,21.66,7.25
3,-102.68,22.0,AGS,CDRAG,"La Codorniz, Ags.",50.0,30.0,0.0,0.0,39.0,250.0,110.5,80.4,178.2,113.0,30.0,13.5
4,-102.0,21.9,AGS,CNSAG,"Los Conos, Ags.",51.5,33.0,0.01,106.3,39.0,289.11,64.4,129.8,190.74,65.33,54.5,0.01
5,-102.37,21.78,AGS,NGRAG,"El Niagara, Ags.",25.4,41.1,0.0,0.0,27.4,260.01,98.2,109.3,139.14,89.33,46.71,0.0
6,-102.29,22.16,AGS,PBLAG,"Pabellón, Ags.",22.0,23.9,0.0,6.9,26.3,184.1,53.4,95.5,58.52,90.31,31.4,0.0
7,-102.13,22.2,AGS,PTOAG,"Puerto de la Concepción, Ags.",26.7,23.5,0.0,18.5,35.5,334.72,60.9,73.7,68.51,76.04,46.62,0.01
8,-116.91,32.44,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",53.6,23.0,13.6,0.0,0.3,0.0,0.0,0.0,0.01,3.41,26.0,44.9
9,-116.7,32.48,BC,CRRBN,"El Carrizo, B.C.",47.6,16.1,25.01,0.0,0.0,0.01,0.0,0.6,0.0,3.1,37.51,49.4
10,-116.83,32.47,BC,EFLBN,"El Florido, B.C.",44.6,32.8,15.82,0.0,0.0,0.0,0.0,0.0,0.0,4.31,21.82,55.7
11,-116.6,31.89,BC,ELZBN,"Emilio López Zamora, B.C.",24.0,30.3,3.84,0.2,0.0,0.01,0.5,0.0,2.8,3.41,21.3,63.0
12,-114.85,31.03,BC,SFLBN,"San Felipe, B.C.",0.0,6.0,0.0,0.0,0.0,0.0,6.9,0.0,4.3,145.23,0.0,15.0
13,-109.91,22.88,BCS,CSLBS,"Cabo San Lucas, B.C.S.",1.0,5.0,0.0,0.0,0.0,76.7,0.0,111.0,324.1,5.0,0.01,34.8
14,-113.42,27.78,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.0,6.5,0.01,0.0,0.0,0.01,0.1,1.5,0.02,37.51,0.0,0.5
15,-114.05,27.97,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.0,23.8,0.0,0.0,0.0,0.02,0.0,0.0,1.01,53.22,0.0,2.41
16,-109.7,23.68,BCS,LBABS,"Los Barriles, B.C.S.",2.0,10.0,0.0,0.0,0.0,38.7,18.0,33.5,106.0,0.0,5.01,14.0
17,-110.37,24.15,BCS,LPZBS,"La Paz, B.C.S.",0.9,7.3,0.0,0.0,0.0,7.41,8.7,16.0,142.82,8.01,0.01,86.4
18,-111.34,26.02,BCS,LRTBS,"Loreto, B.C.S.",0.0,1.6,0.0,0.0,0.0,33.9,3.8,0.2,52.0,1.4,0.2,0.6
19,-109.98,24.07,BCS,PLNBS,"Los Planes, B.C.S.",0.0,2.4,0.0,0.0,0.0,42.2,1.7,38.0,112.35,0.0,0.01,27.0
20,-109.55,23.58,BCS,RBRBS,"La Ribera, B.C.S.",0.5,5.7,0.0,0.0,0.0,74.0,10.6,20.4,103.82,0.0,0.4,8.4
21,-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",3.8,7.4,0.0,0.0,0.0,36.0,19.5,119.8,219.25,11.7,0.02,43.6
22,-109.84,23.74,BCS,SBABS,"San Bartolo, B.C.S.",2.0,6.5,0.0,0.0,0.0,133.2,5.0,117.0,194.5,32.0,22.0,18.0
23,-109.71,23.12,BCS,SJCBS,"San José del Cabo, B.C.S.",0.0,8.0,0.0,0.0,0.0,145.2,0.0,19.3,134.9,0.01,0.0,15.0
24,-110.0,23.56,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",2.2,9.8,0.0,0.0,0.0,123.4,52.0,166.0,371.0,44.0,1.2,45.4
25,-109.72,23.45,BCS,SNTBS,"Santiago, B.C.S.",2.3,4.7,0.0,0.0,0.0,82.13,4.2,36.5,220.38,10.9,0.01,11.7
26,-110.22,23.43,BCS,TSNBS,"Todos Santos, B.C.S.",1.0,11.0,0.0,0.0,0.0,24.6,3.0,9.4,77.91,4.0,3.0,46.0
27,-90.58,19.3,CAMP,CANCA,"Canasayab, Camp.",78.6,5.3,0.0,51.8,6.0,140.81,323.8,465.4,299.63,101.12,112.41,1.53
28,-91.76,18.65,CAMP,CARCA,"El Carmen, Camp.",176.9,81.1,0.4,34.4,5.5,204.9,181.5,185.7,168.52,421.13,130.32,28.82
29,-90.72,19.36,CAMP,CHMCA,"Champotón, Camp.",74.0,2.0,0.0,10.0,2.5,141.51,165.0,377.5,224.04,144.52,145.01,0.02
30,-90.54,19.84,CAMP,CMPCA,"Campeche, Camp.",81.0,10.0,0.0,50.0,6.0,246.0,129.0,360.5,223.01,315.52,99.0,30.01
31,-91.05,18.18,CAMP,CNDCA,"Candelaria, Camp.",159.1,18.7,14.12,273.8,3.4,215.4,216.0,207.1,189.34,163.14,175.8,33.83
32,-90.74,18.6,CAMP,ESCCA,"Escárcega, Camp.",86.9,1.0,28.4,160.8,13.2,139.2,270.7,308.3,179.26,131.14,142.72,25.65
33,-90.11,20.18,CAMP,HECCA,"Hecelchakan, Camp.",39.7,0.0,0.0,140.0,199.0,251.0,197.9,410.2,126.22,194.0,75.0,0.0
34,-89.85,19.75,CAMP,HPOCA,"Hopelchen, Camp.",50.1,2.1,10.5,189.0,44.4,196.0,64.6,147.1,264.2,128.4,48.2,16.2
35,-92.09,18.25,CAMP,PLZCA,"Palizada, Camp.",191.0,92.5,0.0,49.0,16.0,157.0,152.0,219.0,230.5,187.5,510.51,49.0
36,-91.18,18.97,CAMP,SBNCA,"Sabancuy, Camp.",89.5,9.2,3.5,162.4,2.5,244.17,247.9,445.2,325.91,55.5,101.9,21.7
37,-107.48,28.48,CHIH,AGZCH,"Abraham González, Chih.",0.0,15.0,0.0,0.0,0.0,63.56,174.5,175.5,231.01,37.02,1.0,29.5
38,-107.72,27.03,CHIH,BTPCH,"Batopilas, Chih.",0.0,93.2,0.0,0.0,6.7,55.91,124.5,68.7,174.8,12.6,0.02,90.91
39,-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",0.0,30.0,17.02,0.0,12.0,81.6,150.2,178.8,130.01,7.51,0.0,48.02
40,-107.93,30.38,CHIH,CAGCH,"Casas Grandes, Chih.",0.0,1.5,0.0,0.0,0.0,20.13,87.5,133.2,51.33,99.43,0.0,35.9
41,-108.54,27.42,CHIH,CNDCH,"Chinipas, Chih.",0.0,99.3,1.5,0.0,0.0,78.51,165.0,119.3,192.51,9.52,7.5,26.0
42,-106.12,28.61,CHIH,ERECH,"El Rejón, Chih.",0.0,0.4,0.01,0.0,0.0,15.42,27.4,128.8,88.0,6.41,2.61,16.21
43,-105.63,28.17,CHIH,FIMCH,"Francisco I. Madero, Chih.",0.0,1.0,0.0,0.0,0.0,26.02,41.0,101.0,67.02,55.01,1.5,3.51
44,-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0.0,16.9,8.22,0.0,14.2,79.44,174.4,183.4,87.91,61.6,0.02,52.3
45,-107.88,26.87,CHIH,IGNCH,"San Ignacio, Chih.",0.0,80.0,0.0,0.0,0.0,122.5,188.5,170.0,157.0,22.5,0.01,88.0
46,-105.41,27.54,CHIH,LBQCH,"La Boquilla, Chih.",0.0,4.5,0.01,0.0,30.0,41.02,32.1,111.1,91.0,10.02,10.5,10.7
