,Lon,Lat,Edo,Clave,Est,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO
0,-102.71,21.85,AGS,CALVILLO,"Calvillo, Ags. SMN*",18.17,0.0,0.0,0.0,5.32,101.27,18.3,105.47
1,-102.68,22.0,AGS,CDRAG,"La Codorniz, Ags.",16.7,0.0,0.0,0.0,0.0,35.0,139.0,156.3
2,-102.0,21.9,AGS,CNSAG,"Los Conos, Ags.",13.2,0.0,2.31,0.0,3.22,46.72,100.4,160.73
3,-102.3,22.36,AGS,CSOAG,"Cosío, Ags.",7.2,0.0,0.3,0.0,12.0,17.28,39.3,40.33
4,-102.36,22.12,AGS,JCQAG,"Jocoque, Ags.",6.3,0.0,0.0,0.0,5.0,24.32,43.1,108.32
5,-102.79,21.81,AGS,MNLAG,"Media Luna, Ags.",24.3,0.0,0.0,0.0,6.0,96.42,131.4,226.03
6,-102.37,21.78,AGS,NGRAG,"El Niagara, Ags.",5.51,0.0,0.0,0.0,0.01,19.96,173.3,155.45
7,-102.29,21.85,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",8.71,0.0,0.01,0.0,2.91,39.64,145.8,156.71
8,-102.29,22.16,AGS,PBLAG,"Pabellón, Ags.",6.8,0.0,0.0,0.0,0.5,24.73,57.8,90.21
9,-102.42,22.14,AGS,PECAG,"Plutarco Elías Calles, Ags.",6.0,0.0,0.0,0.01,3.3,48.03,45.3,161.02
10,-102.13,22.2,AGS,PTOAG,"Puerto de la Concepción, Ags.",11.53,0.01,0.02,0.0,0.04,32.6,32.0,151.52
11,-102.44,22.24,AGS,PTRAG,"Derivadora Pabellón, Ags.",17.41,0.0,1.5,0.0,0.02,46.85,61.1,107.42
12,-116.91,32.44,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",48.2,121.71,24.3,3.8,19.93,0.01,0.0,0.0
13,-114.72,29.73,BC,CATAVINA,"Cataviña, B.C. SMN*",11.31,18.39,13.88,0.25,0.0,0.0,0.8,0.25
14,-116.7,32.48,BC,CRRBN,"El Carrizo, B.C.",58.7,132.22,15.71,2.4,29.93,0.0,1.4,0.0
15,-116.83,32.47,BC,EFLBN,"El Florido, B.C.",20.6,105.23,17.21,1.55,20.54,0.0,0.0,0.0
16,-116.6,31.89,BC,ELZBN,"Emilio López Zamora, B.C.",48.42,112.62,15.7,6.01,15.22,0.0,1.6,0.01
17,-115.15,32.41,BC,ENLBN,"Ejido Nuevo León, B.C.",8.9,2.01,4.91,0.5,0.0,0.0,0.0,0.02
18,-114.73,32.7,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",3.51,6.02,1.41,0.01,0.0,0.0,0.0,0.02
19,-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",9.31,8.61,0.61,0.2,0.02,0.0,0.0,0.03
20,-114.73,32.7,BC,PDMBN,"Presa Derivadora Morelos, B.C.",3.51,6.02,1.61,3.51,0.0,0.0,0.0,0.01
21,-117.07,32.38,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",73.4,89.0,14.8,6.8,12.4,0.4,0.0,0.2
22,-114.85,31.03,BC,SFLBN,"San Felipe, B.C.",1.2,3.1,9.8,0.0,0.0,0.0,4.2,0.0
23,-111.66,25.0,BCS,CCNBS,"Ciudad Constitución, B.C.S.",4.1,1.4,6.6,0.0,0.0,0.0,0.2,10.0
24,-113.42,27.78,BCS,DORBS,"Díaz Ordaz, B.C.S.",6.4,1.04,11.02,0.0,0.01,0.0,0.0,0.0
25,-114.05,27.97,BCS,GNGBS,"Guerrero Negro, B.C.S.",8.0,8.75,13.5,0.0,0.01,0.0,0.0,0.02
26,-109.7,23.68,BCS,LBABS,"Los Barriles, B.C.S.",8.01,0.0,0.0,0.0,0.0,0.0,0.0,58.02
27,-110.37,24.15,BCS,LPZBS,"La Paz, B.C.S.",13.81,0.02,1.0,0.0,0.0,0.01,11.3,18.41
28,-111.34,26.02,BCS,LRTBS,"Loreto, B.C.S.",13.7,0.21,0.0,0.0,0.0,0.0,0.0,89.81
29,-112.0,26.87,BCS,MLGBS,"Mulege, B.C.S.",16.5,0.4,0.0,0.0,0.0,0.0,1.0,4.5
30,-109.98,24.07,BCS,PLNBS,"Los Planes, B.C.S.",16.51,0.0,0.0,0.0,0.0,0.0,0.0,15.01
31,-109.98,24.07,BCS,PLNBS,"Los Planes, B.C.S.",16.51,0.0,0.0,0.0,0.0,0.0,0.0,23.6
32,-109.98,24.07,BCS,SARBS,"El Sargento, B.C.S.",13.01,0.01,0.0,0.0,0.0,0.01,0.0,15.01
33,-109.98,24.07,BCS,SARBS,"El Sargento, B.C.S.",13.01,0.01,0.0,0.0,0.0,0.01,0.0,23.6
34,-109.55,23.58,BCS,RBRBS,"La Ribera, B.C.S.",3.51,0.0,0.01,0.0,0.0,0.0,0.0,104.91
35,-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",21.62,0.01,2.7,0.0,0.0,0.01,55.4,54.74
36,-109.84,23.74,BCS,SBABS,"San Bartolo, B.C.S.",12.0,1.0,0.0,0.0,0.0,0.0,18.0,59.0
37,-109.71,23.12,BCS,SJCBS,"San José del Cabo, B.C.S.",2.0,0.0,0.0,0.0,0.0,0.0,12.0,121.0
38,-110.0,23.56,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",22.4,0.0,6.2,0.0,0.0,0.0,40.4,151.0
39,-109.72,23.45,BCS,SNTBS,"Santiago, B.C.S.",9.21,0.0,0.0,0.0,0.0,0.0,0.0,64.02
40,-112.28,27.3,BCS,SRLBS,"Santa Rosalía, B.C.S.",13.01,0.01,0.0,0.0,0.0,0.0,4.5,0.0
41,-110.22,23.43,BCS,TSNBS,"Todos Santos, B.C.S.",26.51,0.0,2.0,0.0,0.0,0.0,0.0,89.0
